S/N,Original_Agency,Department,Original_Job_Title,Task_Line,AI_Integration_Probability_Percent,AI_Integration_Skill_Level,AI_Integration_Reasoning,Tool_1,Tool_2,Tool_3,Tool_1_Similarity,Tool_2_Similarity,Tool_3_Similarity,Tool_1_Desc,Tool_2_Desc,Tool_3_Desc,Subtask_1,Subtask_2,Subtask_3,LLM_Confidence_Score
8,Land Transport Authority,Building and Estate Management,[LTA-ADM] DEPUTY/ASSISTANT MANAGER (PROJECT / WORKPLACE DEVELOPMENT),Manage and oversee all project procurement and coordination activities.,45,Medium,"AI can streamline procurement processes and coordination through automated systems, but human oversight is needed for decision-making and issue resolution.",READ,Pair,AISAY,0.378864005,0.369698087,0.360397033,An AI-powered solution that streamlines document handling and verification.,A suite of AI tools designed to help public officers enhance productivity using LLMs.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Develop and implement procurement plans aligned with project requirements and government regulations.,Coordinate with stakeholders to ensure timely delivery of goods and services for project needs.,Monitor and evaluate procurement processes to ensure compliance and efficiency.,0.9
8,Land Transport Authority,Building and Estate Management,[LTA-ADM] DEPUTY/ASSISTANT MANAGER (PROJECT / WORKPLACE DEVELOPMENT),On-site coordination of activities of the appointed contractors and consultants in alignment with the project schedule and budget is expected.,20,Medium,"AI can assist with tracking and monitoring project schedules and budgets, but on-site coordination requires human presence and judgment.",Pair,SENSE,AISAY,0.334621339,0.32336731,0.318662376,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI data assistant that enables non-technical users to analyse datasets easily.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Monitor and oversee the daily activities of contractors and consultants to ensure alignment with the project schedule.,"Facilitate communication and resolve any on-site issues between contractors, consultants, and stakeholders.",Verify that all activities are conducted within the approved budget and escalate discrepancies as needed.,0.9
8,Land Transport Authority,Building and Estate Management,[LTA-ADM] DEPUTY/ASSISTANT MANAGER (PROJECT / WORKPLACE DEVELOPMENT),"To lead and facilitate meetings with Multi-Disciplinary Team Consultants, Contractors, relevant external agencies, as well as internal and external stakeholders to ensure project delivery.",25,Medium,"AI can assist in scheduling and documenting meetings, but leading and facilitating discussions require human communication and interpersonal skills.",Pair,SENSE,READ,0.401767233,0.395605677,0.368027007,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI-powered solution that streamlines document handling and verification.,Coordinate schedules and prepare agendas for meetings with all relevant parties.,"Facilitate discussions during meetings to address project progress, challenges, and solutions.",Document meeting outcomes and follow up on action items to ensure project milestones are met.,0.9
8,Land Transport Authority,Building and Estate Management,[LTA-ADM] DEPUTY/ASSISTANT MANAGER (PROJECT / WORKPLACE DEVELOPMENT),"To maintain effective project governance, processes, and systems throughout the project, including proper compilation of project documents for archival and project closeout.",60,High,"AI can automate governance processes, document compilation, and archival through workflow management systems, significantly reducing manual effort.",READ,AISAY,Pair,0.441835616,0.439242301,0.416021231,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",A suite of AI tools designed to help public officers enhance productivity using LLMs.,Establish and monitor adherence to project governance frameworks and processes to ensure compliance with organizational standards.,"Coordinate the compilation and organization of all project documents, ensuring completeness and accuracy for archival purposes.",Conduct a thorough project closeout review to validate deliverables and finalize documentation for proper closure.,0.9
8,Land Transport Authority,Building and Estate Management,[LTA-ADM] DEPUTY/ASSISTANT MANAGER (PROJECT / WORKPLACE DEVELOPMENT),Any other work-related tasks or duties as assigned by the management.,10,Low,"The nature of these tasks is undefined, making it difficult to assess automation potential. Most ad-hoc tasks require human adaptability.",,,,,,,,,,,,,0.8
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS",Knowledge in Electrical / Electronics / Mechanical Engineering,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS",Good appreciation of the MRT system complexity and interface requirements,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS","Good communication, presentation and inter-personal skills",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS",Self-driven with strong initiative to learn and willingness to get hands-on experience for site works,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS","Team player who is analytical, resourceful and result-oriented",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS",Ability to work independently,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS",Able to perform shift work including weekends and public holidays,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS",Available for overseas travel for train testing and quality inspection,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS",Those without working experience are welcome to apply,0,NA,This is not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS","As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.",0,NA,This is not a task,,,,,,,,,,,,,0.9
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS","You will play an integral role in managing large-scale Rolling Stock (Passenger Trains) projects for the new and existing MRT lines, including design review, manufacturing, testing and commissioning.",60,High,"AI can assist in design review, manufacturing optimization, and testing processes through predictive analytics, simulation tools, and automated quality checks.",Pair,MAESTRO,SENSE,0.389670263,0.385823019,0.362548019,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,An AI data assistant that enables non-technical users to analyse datasets easily.,Conduct design reviews to ensure compliance with technical specifications and operational requirements for MRT rolling stock projects.,Oversee manufacturing processes to ensure quality standards and project timelines are met.,Coordinate and manage testing and commissioning activities to ensure readiness for operational deployment.,0.8
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS","You will lead/support investigation of train faults and failures and also various engineering initiatives to improve train reliability, operation and maintenance.",70,High,"AI can be highly effective in fault detection, predictive maintenance, and reliability analysis using machine learning models and sensor data.",SENSE,MAESTRO,Pair,0.372987065,0.360867866,0.345348426,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,A suite of AI tools designed to help public officers enhance productivity using LLMs.,Conduct detailed investigations into train faults and failures to identify root causes.,Collaborate with engineering teams to develop and implement solutions for improving train reliability.,Evaluate and propose initiatives to enhance train operation and maintenance processes.,0.8
9,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS","You will be working closely with cross functional teams from different disciplines within LTA, appointed Railway Operator, relevant parties and stakeholders to ensure that the projects are well co-ordinated and progress according to the stipulated timeline.",40,Medium,"AI can assist in project coordination through scheduling tools, communication platforms, and progress tracking, but human oversight is still critical for stakeholder management.",Pair,MAESTRO,GatherSG,0.426578037,0.350939788,0.334075622,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,A case management system that enhances interactions and coordinates public service delivery.,"Facilitate regular communication and meetings with cross-functional teams, Railway Operator, and stakeholders to align on project objectives and timelines.",Monitor project milestones and ensure alignment with the stipulated timeline by coordinating updates from all involved parties.,"Identify and address any coordination issues or risks that may impact project progress, involving relevant stakeholders as needed.",0.8
10,Land Transport Authority,Engineering,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT","You will be involved in the management, maintenance and engineering design of commuter facilities, such as covered linkways, pedestrian overhead bridges, pedestrian underpasses, footbridges and bus/taxi/pick up drop off shelters to ensure safe operation for use by the public at all times.",40,Medium,"While AI can assist in design optimization and predictive maintenance, human oversight is required for safety assessments and engineering decisions.",Pair,Oobee,MAESTRO,0.352761673,0.326303479,0.323562698,A suite of AI tools designed to help public officers enhance productivity using LLMs.,Automated accessibility testing tool.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,Conduct regular inspections and assessments of commuter facilities to identify maintenance needs and ensure safety compliance.,Coordinate and oversee maintenance activities to address identified issues and ensure facilities remain operational.,Develop engineering designs and improvement plans for commuter facilities to enhance safety and usability for the public.,0.8
10,Land Transport Authority,Engineering,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT",Knowledge in Civil/Structural Engineering or equivalent,0,NA,This is a job requirement not a task.,,,,,,,,,,,,,0.9
10,Land Transport Authority,Engineering,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT","Independent, self-motivated and possess good project management and organisational skills",0,NA,This is a job requirement not a task.,,,,,,,,,,,,,0.9
10,Land Transport Authority,Engineering,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT","Good writing, communication and interpersonal skills",0,NA,This is a job requirement not a task.,,,,,,,,,,,,,0.9
10,Land Transport Authority,Engineering,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT","Good knowledge of common civil construction materials such as reinforced concrete, steel, asphalt etc preferred",0,NA,This is a job requirement not a task.,,,,,,,,,,,,,0.9
10,Land Transport Authority,Engineering,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT","Relevant experience in commuter facilities construction, handling of customer feedback, GIS, productivity and automation tools will be an advantage",0,NA,This is a job requirement not a task.,,,,,,,,,,,,,0.9
10,Land Transport Authority,Engineering,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT","As part of the shortlisting process for the role, you may be required to complete a medical declaration and /or undergo further assessment.",0,NA,This is not a task.,,,,,,,,,,,,,0.9
10,Land Transport Authority,Engineering,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT","You will lead the preparation of tender specifications, manage and supervise commuter facilities inspection/maintenance contracts, ensuring safety requirements for on-site activities, as well as carry out quantity/quality audit checks on works on site.",50,Medium,"AI can assist in drafting tender specifications and performing quality audits using computer vision and data analysis, but human supervision is required for safety compliance and contract management.",READ,AISAY,Pair,0.378618246,0.360178914,0.351173505,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",A suite of AI tools designed to help public officers enhance productivity using LLMs.,"Draft and finalize tender specifications, ensuring compliance with regulatory and operational requirements.","Oversee and coordinate the inspection and maintenance contracts for commuter facilities, ensuring adherence to safety standards.",Conduct on-site audits to verify the quantity and quality of completed works against contractual agreements.,0.8
10,Land Transport Authority,Engineering,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT","Beside reviewing construction drawings and offering professional advice to developers, consultants and other government agencies on development submissions/projects related to maintenance of commuter facilities, part of the work scope also include the management of feedback from the public, other government agencies and private developers.",45,Medium,"AI can assist in reviewing construction drawings and managing feedback through automated systems, but professional advice and stakeholder engagement require human expertise.",Pair,SENSE,READ,0.400208855,0.368672674,0.355128424,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI-powered solution that streamlines document handling and verification.,Review construction drawings to ensure compliance with standards and suitability for commuter facilities maintenance.,"Provide professional advice to developers, consultants, and government agencies on development submissions and projects.","Manage and address feedback from the public, government agencies, and private developers regarding commuter facilities and related projects.",0.8
11,Land Transport Authority,Building and Estate Management,[LTA-IDE] ASSISTANT SURVEYOR,"Knowledge in any discipline, preferably with related modules on Land Surveying",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
11,Land Transport Authority,Building and Estate Management,[LTA-IDE] ASSISTANT SURVEYOR,Relevant experience may be considered;,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
11,Land Transport Authority,Building and Estate Management,[LTA-IDE] ASSISTANT SURVEYOR,Team player and interest in construction environment;,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
11,Land Transport Authority,Building and Estate Management,[LTA-IDE] ASSISTANT SURVEYOR,Good interpersonal and communication skills,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
11,Land Transport Authority,Building and Estate Management,[LTA-IDE] ASSISTANT SURVEYOR,"You will be part of a survey team in planning, executing and finalising survey works pertaining to the construction of Rail and Road projects.",40,Medium,"Survey planning and execution can partially leverage AI tools for data collection, analysis, and mapping, but human oversight is required for finalization and on-site adjustments.",Pair,SENSE,READ,0.357234513,0.323488734,0.320028047,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI-powered solution that streamlines document handling and verification.,Assist in developing survey plans and methodologies for Rail and Road projects.,Conduct field surveys and collect accurate data related to construction sites.,Analyse survey data and prepare reports to support project finalisation.,0.8
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT",At least 3 years of working experience is preferred,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","Past experience in enforcement, regulatory and supervisory functions would be advantageous",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT",Positive attitude and able to thrive in a fast-paced working environment,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","Good conceptual, planning and organising skills",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT",Bilingual with good communication (verbal and written) and leadership skills,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","Resourceful, independent and self-motivated as well as a team player",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT",Lead and manage the Vehicle Enforcementâ€™s Feedback Management Team (3 executives),20,Medium,"While leadership and team management are human-centric tasks, AI tools can assist in task allocation and tracking team performance.",Pair,READ,AISAY,0.471270428,0.404658701,0.36443581,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Oversee the allocation of tasks and responsibilities among the Feedback Management Team to ensure efficient handling of feedback.,Monitor and evaluate team performance to ensure adherence to service standards and timely resolution of feedback.,Provide guidance and support to team members to address complex or escalated feedback cases effectively.,0.8
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT",Effective triage (classification and assessment) of feedback,70,High,AI can effectively classify and assess feedback using natural language processing and sentiment analysis tools.,AIBots,AISAY,GovText,0.395019699,0.392852962,0.381835463,A platform that allows users to quickly and easily create RAG-powered AI chatbots.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",GovText accelerates text-related multimodal AI adoption across government by providing reusable platform services and products.,"Categorize feedback based on predefined criteria such as urgency, topic, or department relevance.","Assess the feedback to determine its validity, impact, and required follow-up actions.",Prioritize feedback for action based on its classification and assessment outcomes.,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT",Prompt distribution and dissemination of case files for follow up; as well as timely update in feedback management system,60,High,AI can automate case file distribution and updates in management systems through workflow automation tools.,GatherSG,READ,AISAY,0.469331419,0.443615735,0.43694817,A case management system that enhances interactions and coordinates public service delivery.,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Organize and distribute case files to relevant personnel for follow-up actions.,Ensure timely communication with stakeholders regarding case file updates.,Update the feedback management system with accurate and current information on case progress.,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","Prompt handling of appeals and high-profile cases, including potential updates to management on case status",40,Medium,"AI can assist in drafting responses and tracking case statuses, but human oversight is required for high-profile cases.",READ,GatherSG,Pair,0.390988755,0.388396963,0.3784453,An AI-powered solution that streamlines document handling and verification.,A case management system that enhances interactions and coordinates public service delivery.,A suite of AI tools designed to help public officers enhance productivity using LLMs.,Review and assess the details of appeals and high-profile cases to determine their urgency and complexity.,Coordinate with relevant stakeholders to gather necessary information and ensure timely resolution.,Prepare and provide regular updates to management on the status and progress of cases.,0.8
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT",In-depth analysis of Vehicle Enforcementâ€™s feedback,80,High,AI can perform trend analysis and generate insights using data analytics and visualization tools.,Analytics.gov,Video Analytics System,SENSE,0.456866131,0.444724027,0.429273469,Central data exploitation platform for government agencies.,Video Analytics System (VAS) enables government agencies to swiftly and effectively develop video analytics tools.,An AI data assistant that enables non-technical users to analyse datasets easily.,Review and categorize feedback received from Vehicle Enforcement.,Identify recurring issues or patterns in the feedback.,Prepare a summary report highlighting key findings and recommendations.,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","Trend analysis, including source of feedback, areas/locations of interest, emerging areas of enforcement concerns",85,High,AI can identify trends and patterns using machine learning algorithms applied to feedback data.,GovText,Analytics.gov,SENSE,0.39689722,0.386855967,0.380446291,GovText accelerates text-related multimodal AI adoption across government by providing reusable platform services and products.,Central data exploitation platform for government agencies.,An AI data assistant that enables non-technical users to analyse datasets easily.,Gather and categorize feedback from relevant sources to identify key themes and patterns.,Analyze data to pinpoint areas or locations of interest based on frequency or significance.,Identify emerging enforcement concerns by evaluating trends and anomalies in the data.,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","Periodic reports to management on feedback analysis, as well as responsible to handle request for feedback analysis from other departments",50,Medium,"AI can automate report generation and data sharing, but human input may be needed for interpretation and customization.",SENSE,Analytics.gov,GovText,0.395339393,0.36945337,0.36318789,An AI data assistant that enables non-technical users to analyse datasets easily.,Central data exploitation platform for government agencies.,GovText accelerates text-related multimodal AI adoption across government by providing reusable platform services and products.,Compile and analyze feedback data periodically to identify key insights and trends.,Prepare and present detailed reports to management based on the feedback analysis.,Coordinate with other departments to address and fulfill their specific requests for feedback analysis.,0.8
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","Work with Ops team to plan for efficient deployment of resources, e.g. deployment to certain locations with high concentration of feedback",30,Medium,"AI can assist in resource planning using predictive analytics, but human judgment is required for final decisions.",MAESTRO,Pair,Pinpoint,0.438434042,0.381708549,0.363407387,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,A suite of AI tools designed to help public officers enhance productivity using LLMs.,"A secure, AI-powered platform for storing, managing, and sharing images and videos efficiently.",Collaborate with the Ops team to analyze feedback data and identify locations with high concentrations of feedback.,Develop a resource deployment plan that prioritizes identified locations based on operational needs and feedback urgency.,Coordinate with relevant stakeholders to ensure alignment and readiness for resource deployment to targeted locations.,0.8
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","Identify tools and new technology for more efficient feedback management and handling, e.g. AI for quick analysis of long feedback, data analysis, dashboarding for overall feedback health status.",90,High,"AI is highly capable of analyzing feedback, performing data analysis, and creating dashboards for monitoring.",Pair,READ,AIBots,0.461760313,0.455888743,0.447672645,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI-powered solution that streamlines document handling and verification.,A platform that allows users to quickly and easily create RAG-powered AI chatbots.,"Research emerging technologies and tools relevant to feedback management, including AI and data analysis methods.",Evaluate the suitability of identified technologies for improving feedback analysis and handling within the public service context.,Develop criteria for selecting tools that enhance dashboarding and provide insights into overall feedback health status.,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT",Collaborate with EC3S/tech teams to streamline feedback flow from feedback management system (EFMS) to case management system (EC3S),60,High,AI can facilitate integration and data flow between systems using APIs and automation tools.,GatherSG,Cloud File Transfer,AISAY,0.448482197,0.429869542,0.407147066,A case management system that enhances interactions and coordinates public service delivery.,"A secure, centralised platform for automated cross-zone file transfers with government and partners.","An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Coordinate with EC3S and tech teams to understand current feedback flow processes and identify bottlenecks.,Develop a plan to integrate feedback management system (EFMS) with case management system (EC3S) for seamless data transfer.,Test and validate the streamlined feedback flow to ensure accuracy and efficiency in data handling.,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT",Explore possibility of single source of truth for all data flow,70,High,AI can consolidate data sources and ensure consistency using data integration platforms.,SENSE,MAESTRO,Analytics.gov,0.442723292,0.438913638,0.410981787,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,Central data exploitation platform for government agencies.,Identify and map existing data sources and their flow across departments.,Engage stakeholders to understand data requirements and dependencies.,Evaluate feasibility of consolidating data into a unified framework.,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","Tap on case management systemâ€™s capabilities and data for analysis and performance tracking, e.g. time taken to respond to cases, geo-tagging of incidents, etc",80,High,AI can analyze case management data and track performance metrics using advanced analytics tools.,GatherSG,Analytics.gov,GovText,0.496560744,0.453124128,0.424219808,A case management system that enhances interactions and coordinates public service delivery.,Central data exploitation platform for government agencies.,GovText accelerates text-related multimodal AI adoption across government by providing reusable platform services and products.,"Extract relevant data from the case management system for analysis, including response times and geo-tagging information.","Analyze the extracted data to identify trends, patterns, and areas for improvement in case handling and incident management.",Generate performance tracking reports based on the analysis to support decision-making and operational enhancements.,0.9
12,Land Transport Authority,Enforcement,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","In addition, you are also expected to support the section in all operations matters, including but not limited to writing of contractual papers, budgeting, management of staff, and formulation/review of deployment plans, enforcement strategies, policies and business continuity plans.",30,Medium,"AI can assist in drafting documents, budgeting, and analyzing deployment plans, but human expertise is required for strategic decision-making.",Pair,READ,AISAY,0.405046718,0.363340766,0.361928667,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Draft and review contractual papers to ensure compliance with regulations and alignment with organizational goals.,Assist in budgeting processes by preparing financial plans and monitoring expenditure.,"Develop and review deployment plans, enforcement strategies, policies, and business continuity plans to support operational effectiveness.",0.8
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT",Knowledge in contract management principles and practices.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT",Meticulous attention to detail with excellent organisational capabilities.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT","Strong multitasking abilities, adaptability and resilience in a fast-paced, dynamic environment.",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT",Proven ability to work both independently with minimal supervision and collaboratively as a team player.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT",Advanced proficiency in Microsoft Office applications.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT","Excellent written, verbal, and interpersonal communication skills.",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT",Previous experience in the bus industry or transport sector will be advantageous.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT","As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.",0,NA,This is not a task,,,,,,,,,,,,,0.9
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT","As part of our collaborative team, you will take ownership of managing bus service contracts and other contracts whilst working closely with contracted operators, LTA divisions, and key stakeholders.",40,Medium,"AI can assist in contract management through document analysis, compliance checks, and stakeholder communication, but human oversight is still required for complex negotiations and relationship management.",Pair,READ,AISAY,0.401945141,0.3839915,0.364404868,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Coordinate with contracted operators to ensure compliance with bus service contract terms and conditions.,Liaise with LTA divisions and key stakeholders to address operational and contractual issues.,Monitor and evaluate contract performance to identify areas for improvement and ensure service standards are met.,0.8
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT","Your responsibilities will encompass proactive contract management, performance monitoring, and compliance oversight.",50,Medium,"AI can automate performance monitoring and compliance checks using predefined metrics and data analysis, but human intervention is needed for nuanced decision-making.",READ,Pair,AISAY,0.410990831,0.377335029,0.376131991,An AI-powered solution that streamlines document handling and verification.,A suite of AI tools designed to help public officers enhance productivity using LLMs.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Review and track contract terms and milestones to ensure obligations are met.,Monitor vendor and service performance against agreed benchmarks and standards.,Conduct regular audits to ensure compliance with regulatory and contractual requirements.,0.8
13,Land Transport Authority,Others,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT","You will be responsible for reviewing and reporting on operator performance against contractual requirements, processing essential documentation and payments, and supporting the seamless implementation of bus services following tender awards.",60,High,"AI can automate performance reviews, generate reports, process documentation, and assist in payment workflows, significantly improving efficiency and accuracy.",READ,AISAY,Pair,0.468567025,0.450396581,0.409730584,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",A suite of AI tools designed to help public officers enhance productivity using LLMs.,Evaluate operator performance by comparing operational data against contractual requirements and identifying areas of non-compliance.,Process and verify essential documentation and payments related to operator contracts and service delivery.,Coordinate with relevant stakeholders to ensure smooth implementation of bus services after tender awards.,0.8
